Date,Shot,Attack Ang.,Club Path,Face To Path,Swing Dir.
2/26/2025,29,-3.8,0.8,1.9,-0.2
2/26/2025,30,-4.2,-1,5.4,-3
2/26/2025,31,-5.6,-1.8,3.9,-4.1
2/26/2025,32,-3.8,-0.2,1.1,-1.6
2/26/2025,33,-3,1.2,-2.2,0.3
2/26/2025,34,-6,-1.8,1.4,-4.5
2/26/2025,35,-1.6,3.2,2.4,2.7
2/26/2025,36,-4.6,-0.6,4.8,-2.7
2/26/2025,37,-6.3,2.5,-1.1,0
2/26/2025,38,-5.2,-1.8,3.8,-4.4
2/26/2025,39,-3.6,-0.4,-0.9,-2
2/26/2025,40,-5.4,-1.8,5,-4.2
2/26/2025,41,-4.4,0,2.1,-1.6
2/26/2025,42,-5.8,-0.2,4.8,-2.8
2/26/2025,43,-3.6,-3,6.6,-4.7
2/26/2025,44,-4.8,-1.2,0.3,-3.4
2/26/2025,45,-5.2,-2.4,0.9,-4.7
2/27/2025,1,-6.2,-0.2,4.2,-3.5
2/27/2025,2,-5.4,-0.6,0.5,-3
2/27/2025,3,-4.4,0.2,2.2,-1.9
2/27/2025,4,-5.2,1.8,-0.1,-0.5
2/27/2025,5,-5,1.8,-0.4,-0.2
2/27/2025,6,-5.2,-1.4,4.4,-3.6
2/27/2025,7,-6.4,-0.4,-1.1,-3.6
2/27/2025,8,-4.8,-0.4,4.7,-3.3
2/27/2025,9,-6.8,-0.6,-0.3,-4.1
2/27/2025,10,-6,0.4,3.1,-2.8
2/27/2025,11,-6.2,0,-1,-2.9
2/27/2025,12,-7.2,-1,0.6,-5
2/27/2025,13,-6.2,1.2,1.5,-1.1
2/27/2025,14,-5.6,0.2,0.1,-1.9
2/27/2025,15,-6.6,0,2,-3.1
2/27/2025,16,-5.8,1,-0.1,-1
2/27/2025,17,-7.4,1.4,-0.5,-1.6
2/27/2025,18,-6.2,1.4,-3.1,-0.5
2/27/2025,19,-4.2,1.2,-1.6,-0.4
2/27/2025,20,-5.4,1.6,-3.9,-0.7
2/27/2025,21,-5,2.2,0.7,-0.1
2/27/2025,22,-5,1.2,-0.1,-0.9
2/27/2025,23,-6.4,3,-1.5,0.5
2/27/2025,24,-6.8,1.2,-0.6,-1.9
2/27/2025,25,-6.6,1.8,3.8,-0.8
2/27/2025,26,-6.4,0,2.7,-2.7
2/27/2025,27,-5,0.4,1.6,-1.8
2/27/2025,28,-5.6,2,-0.9,0
2/27/2025,29,-4,0.4,0.6,-1.3
2/27/2025,30,-6.6,1.2,-0.2,-1.5
